eng	the	0.06796728153908525
eng	of	0.03611837983267608
eng	and	0.0328463033943906
eng	to	0.0254279843732724
eng	that	0.010284985073526702
ger	und	0.038541612449903714
ger	der	0.029159943788060166
ger	die	0.026993441940352886
ger	zu	0.013150818022519474
ger	ich	0.012220458370200733
lat	ut	0.009397278029812054
lat	cum	0.006876547070239827
lat	quod	0.006252915086478715
lat	sed	0.005161122397821306
lat	quae	0.0049951699091453795
ita	di	0.03156172481131578
ita	che	0.024670468810314015
ita	della	0.0069792206743889305
ita	gli	0.004705592586958254
ita	più	0.003984282265183479
spa	el	0.021918949624888807
spa	los	0.018980339475896488
spa	las	0.009956202486712487
spa	por	0.009809537676383033
spa	para	0.004792113259242806
fre	dans	0.008424486842392541
fre	une	0.007984704300823734
fre	pour	0.007308915525363393
fre	pas	0.007197670296172228
fre	vous	0.006728776853506668
